"Date caught","Catcher","Type","Weight","Reaction Time (ms)","Last updated: Thu Jan 09 23:57:21 PST 2014"
2013-12-20 16:40:36,SUSAltd,festive iciclefish,12.1104,0
2014-01-07 23:06:39,SBot,frozen pollyfish,12.1,1389164799400
2013-12-17 23:49:47,SUSAltd,nice fangtooth,12.0234,0
2014-01-01 02:37:20,jeffmeng,frozen whitefish,11.9356,0
2013-12-22 00:17:55,SUSAltd,slithering tadpolefish,11.9131,0
2013-12-20 23:51:05,jeffmeng,chocolate-covered gibberfish,11.9097,0
2014-01-04 00:40:26,SUSAltd,radioactive redfish,11.8912,0
2013-12-16 15:47:28,SUSAltd,gregarious sleighfish,11.8455,0
2014-01-07 23:50:56,SUSAltd,robotic cod,11.8202,1389167456238
2013-12-17 23:07:24,jeffmeng,chilly winterfish,11.8114,0
2013-12-20 19:17:01,SUSAltd,happy man-of-war fish,11.8086,0
2014-01-06 22:49:26,SUSAltd,resplendent platyfish,11.8079,1389077366609
2013-12-19 21:08:31,jeffmeng,spike-tailed telescopefish,11.7989,0
2013-12-15 03:09:45,SUSAltd,slithering dragonfish,11.7682,0
2013-12-19 21:05:23,caretcaret,glowing iciclefish,11.7117,0
2013-12-19 01:56:11,jeffmeng,metal Christmasfish,11.7083,0
2013-12-20 01:41:22,SUSAltd,spike-tailed poolfish,11.6901,0
2013-12-20 17:44:43,satrix,jingling winterfish,11.6792,0
2013-12-27 23:08:22,SUSAltd,frosty tinselfish,11.604,0
2013-12-22 12:42:22,SUSAltd,keen glassfish,11.5313,0
2013-12-28 18:11:02,SUSAltd,lazy iciclefish,11.5132,0
2014-01-01 20:52:47,jeffmeng,secret jellyfish,11.4991,0
2014-01-08 01:58:32,SUSAltd,dead lightfish,11.4797,1389175112111
2013-12-18 23:34:53,caretcaret,red-hot kelpfish,11.4492,0
2013-12-19 22:31:30,caretcaret,icy scorpionfish,11.4449,0
2013-12-21 16:49:39,Zorael,wintry sleighfish,11.4331,0
2013-12-18 19:30:48,satrix,burning Santafish,11.4224,0
2014-01-01 21:03:11,SUSAltd,beached legofish,11.4183,0
2014-01-04 01:48:56,SUSAltd,awkward jellynose fish,11.4176,0
2014-01-01 20:33:41,SUSAltd,zealous perch,11.3961,0
2013-12-19 13:58:17,Zorael,shiny jawfish,11.3686,0
2013-12-18 15:00:40,jeffmeng,scorching elffish,11.3485,0
2013-12-17 19:58:29,SUSAltd,festive winterfish,11.341,0
2013-12-19 21:43:50,SUSAltd,jingling winterfish,11.3392,0
2014-01-07 23:32:34,jeffmeng,red-hot eagle ray,11.3235,1389166354048
2013-12-20 19:16:11,tetranoir,radioactive snowfish,11.3038,0
